wallet_address,appraisal_year,eligible,zk_input_commitment
0xcf37173bcc4a4b8d738c47b3eefe060b3dda9e52,2026,False,23d4ea39956f80cf4ea540cdb9c70e2424bb2eaa159b8bb17c98e250bb7d8921
0xd63d630861a3c7ad1f06a9aaecb6d8753908ae8c,2026,True,1a29fb1cb3cc7e4faf6cc74a71751c132812dc65daa7ca00b8120484e18ec77b
0x8a975e5a8fe756485316bcf76d270eae03b84777,2026,False,518b5f6ddf671a8b5dad023f4badb67359dcf5b32eb63015484de6fdf77e0f45
0x0e9d2e52fb97e95051386fcb576c0bc94809d721,2026,True,c3332e628d1cfc80ae6c1ff509730aa34850e9b73802bb00c163569e5781cca1
0x84d62ce0f94277fd07d92f7deafde7a3e3c029bc,2026,False,bd4464867a5b80236cf72a9ad0da8377383239e97dcbf7d4293a084c8726e273
0x80fe01a81f9d3c617ef69d9eedebd711afe8992a,2026,True,c4a5a8ef707693c84f4bd14c476ea4335664f353370e6005fc049427dd840a1c
0x68afdcd52ac5e783a2b0af237b31dd8f3edd98c2,2026,True,a1902f6603da27a5d82e57f9ec8db4e0fdfb6256803c9a73ba5bb6de5a893224
0xbd008615f8bef68b7c70b92a77907a65256d9f0c,2026,False,4c905d0f67b2dd9f5e6034c7b1722c1575ae8a22873fb5d14482cb439d2886b4
0xadb94db88315ced47f7f67c3cbccba95c4599d07,2026,True,cf2895eca7e6fbc38fcf43ef0f6e9964b99a0df5bd2a4f1974661f90341dd9ee
0x2172c627fb736153b37c0c0c0d0c4e54fb3a9970,2026,False,7a347e873465e0e7b77c3e677009b144cb0f6b62a421fd91185501bb618eaffc
0xb6716cd4f919934a2b405fd0579af53841e4e339,2026,True,511dc005f1c1539bd546431958b323d69fbc06bf7d4ea70c24600aef795d3403
0xdc3c3bf52b3b53628fb90d68d81f2a4f062a3f24,2026,True,0af9522cd6fda0a4acb3f4a9a356a108586f6ceda3e48d22607a591e0fe2ca40
0xe294dcb825c0b73e9ef5bb14d7647023472708ea,2026,True,a4a0af412d361b565cdde1d8d40bd8255593d0bc9edd2f955ed76f3b475f3bdd
0xfdd94882905cc00e478aefe72244425b428beed3,2026,False,17499cc2d3989dbadae65ebb9e46d2b9a65e849ca0f8f08b787d60e37ab07a33
0x50a12cc82abfd949d486ba9f21abb3885065cc90,2026,False,a208f7af714557e6b70670deb4586cf1294ce49edbcaf0642885878b02b86cd8
0x7546d6341f672786cb7ff67870e12b867db96eaf,2026,True,6d5bcb9606d26fad08ff8a99814d9744ce0e9a904af9724a81ddd2c3680d292c
0x2366c9db986abd2dbf82beb4dbee20f4db3806da,2026,False,9da83d77eab933d51b7207544720b7e76a3f53522892190c4f9554f864e8de50
0x89de5333ad720f9a6cb9a07bc67ba4a2f7beb814,2026,True,d4f94184b74e1c41964312feb3cd81482d28415805b98dd63a39ff5cbb52f9d4
0x4e18499694137ca6155d51d3e43b04139bb8a4f9,2026,True,2202e51631da833053cf1bec991bf761c54768af6a0c555fcf9d2889e7933fd5
